Model ID,Chassis,Name,Threat Value,Unit Availability,Armor Rating,Hull,Structure,Actions,Gunnery Skill,Piloting Skill,Type,Height,Movement Primary,Movement Secondary,Added note,Notes Generic,Workflow brought over,Build notes,Role Primary,Role Secondary,MJH TV comments,Leagueless,In Brigand Release,Sensors,Description,Alternate Names,Stock Flag,Debut Year,Debut Notes
29,Ferret,Ferret Gunner,6,RC,4,3,3,1,2,4,Gear,"1""","W:4""","G:9""",,,,,TD Recon,Tank Destroyer,,Yes,Yes,"16""",,,,,
30,Ferret,Wild Ferret,8,RC,4,3,3,1,2,4,Gear,"1""","W:4""","G:9""",,,,,EWAR,,,Yes,Yes,"20""",,,,,
31,Weasel,Weasel,11,RC,4,3,3,1,2,3,Gear,"1""","W:5""","G:8""",,,,,EWAR,,,No,Yes,"20""",,,Yes,,
32,Bobcat,Bobcat,8,RC,5,3,3,1,2,4,Gear,"1.5""","W:5""","G:9""",,,,,TD Recon,EWAR,,Yes,Yes,"16""",,,Yes,1692,first recon gear
33,Wildcat,Wildcat,7,"RC, SK",5,3,3,1,2,3,Gear,"1.5""","W:6""","G:8""",,,,,Assault,Recon,,Yes,Yes,"12""",,,Yes,,
34,Wildcat,Riotmaster Wildcat,7,"RC, SK",5,3,3,1,2,3,Gear,"1.5""","W:6""","G:8""",,,,,Assault,Recon,,Yes,Yes,"12""",,,,,
35,Wildcat,Gunner Wildcat,8,SK,5,3,3,1,2,3,Gear,"1.5""","W:6""","G:8""",,,,,Assault,Recon,,Yes,Yes,"12""",,,,,
36,Wildcat,Assault Wildcat,8,SK,5,3,3,1,2,3,Gear,"1.5""","W:6""","G:8""",,,,,Assault,Gear Destroyer,,Yes,Yes,"12""",,,,,
37,Tiger,Tiger,10,"GP, SK",7,3,3,1,4,3,Gear,"1.5""","W:5""","G:6""",,,,,Trooper,Gear Destroyer,,Yes,Yes,"12""",,,Yes,1862,"On its debut, was the most advanced gear on Terra Nova"
38,Tiger,Assault Tiger,11,"GP, SK",7,3,3,1,4,3,Gear,"1.5""","W:5""","G:6""",,,,,Gear Destroyer,Trooper,,Yes,Yes,"12""",,,,,
39,Tiger,Destroyer Tiger,11,SK,7,3,3,1,4,3,Gear,"1.5""","W:5""","G:6""",,,,,Trooper,Tank Destroyer,,Yes,Yes,"12""",,Strike Tiger,,,
40,Hunter Paratrooper,Hunter Paratrooper,7,SK,6,4,2,1,3,3,Gear,"1.5""","W:5""","G:6""",,,,,Airdrop Trooper,Tank Destroyer,,No,Yes,"12""",,,Yes,1916,Benefits from lessons learned with the Hunter Commando
41,Hunter Paratrooper,Strike Hunter Paratrooper,7,SK,6,4,2,1,3,3,Gear,"1.5""","W:5""","G:6""",,,,,Tank Destroyer,,,No,Yes,"12""",,,,,
42,Para Cheetah,Para Cheetah,10,SK,4,3,3,1,2,5,Gear,"1.5""","W:7""","G:9""",,,,,EWAR,TD Recon,,No,Yes,"16""",,,Yes,,
43,Para Cheetah,Strike Para Cheetah,10,SK,5,3,3,1,3,5,Gear,"1.5""","W:7""","G:9""",,,,,EWAR,Tank Destroyer,,No,Yes,"16""",,,,,
44,Para Cheetah,Grenadier Para Cheetah,12,SK,5,3,3,1,3,5,Gear,"1.5""","W:7""","G:9""",,,,,EWAR,Airdrop Trooper,,No,Yes,"16""",,,,,
45,Koala,Koala,14,SK,7,4,2,1,3,2,Gear,"2""","W:5""","G:6""",,"dropped AR to 7, as per 16 Armor in lions wrath. Moved H/S to 4/2",,,Airdrop Trooper,Gear Destroyer,,No,Yes,"12""",,,Yes,,
46,Koala,Sniper Koala,15,SK,7,4,2,1,3,2,Gear,"2""","W:5""","G:6""",,,,,Airdrop Trooper,Gear Destroyer,,No,Yes,"12""",,,,,
47,Koala,Grenadier Koala,14,SK,7,4,2,1,3,2,Gear,"2""","W:5""","G:6""",,,,,Gear Destroyer,Assault,,No,Yes,"12""",,,,,
48,Dingo,Dingo,12,SK,6,3,3,1,3,2,Gear,"2""","W:4""","G:6""",,,,,Gear Destroyer,Assault,,No,Yes,"12""",,,Yes,,
49,Dingo,Chaingun Dingo,12,SK,6,3,3,1,3,2,Gear,"2""","W:4""","G:6""",,,,,Gear Destroyer,Assault,,No,Yes,"12""",,Peacemaker Dingo,,,
50,Dingo,Destroyer Dingo,12,SK,6,3,3,1,3,2,Gear,"2""","W:4""","G:6""",,,,,Gear Destroyer,Tank Destroyer,,No,Yes,"12""",,,,,
51,Dingo,Tank Hunter Dingo,13,SK,6,3,3,1,3,2,Gear,"2""","W:4""","G:6""",,,,,Sniper,Assault,,No,Yes,"12""",,Dogfire Dingo,,,
52,Grizzly,Grizzly,16,FS,8,4,2,1,3,2,Gear,"2""","W:4""","G:5""",,,,,Artillery,Gear Destroyer,,No,Yes,"12""",Rocket and Guided Mortar,,Yes,1870s,Replacement for the Bear fire support gear
53,Grizzly,Rabid Grizzly,16,FS,8,4,2,1,3,2,Gear,"2""","W:4""","G:5""",,,,,Gear Destroyer,Artillery,,Yes,Yes,"12""",,,,1913,Designed to work with the Strike Grizzly to counter CEF hovertanks and GREL
54,Grizzly,Grizzly Destroyer,16,FS,8,4,2,1,3,2,Gear,"2""","W:4""","G:5""",,,,,Artillery,Tank Destroyer,,No,Yes,"12""",,,,,
55,Grizzly,Crossbow Grizzly,15,FS,8,4,2,1,3,2,Gear,"2""","W:4""","G:5""",,,,,Gear Destroyer,Tank Destroyer,,No,Yes,"12""",,,,,
56,Razorback,Razorback,13,"SK, FS",8,4,2,1,3,2,Gear,"1.5""","W:4""","G:5""",,"@made numerous changes to razorback, as per changelog, review all TVs - maybe 1 higher?",,,Gear Destroyer,Trooper,,Yes,Yes,"8""",,,Yes,,
57,Razorback,Chaingun Razorback,13,"SK, FS",8,4,2,1,3,2,Gear,"1.5""","W:4""","G:5""",,,,,Gear Destroyer,Trooper,,Yes,Yes,"8""",,Peacemaker Razorback,,,
58,Kodiak,Kodiak,19,"SK, FS",9,4,2,2,4,2,Gear,"2""","W:4""","G:5""",,,,,Anchor,Gear Destroyer,,No,Yes,"12""",,,Yes,,
59,Kodiak,Chaingun Kodiak,19,"SK, FS",9,4,2,2,4,2,Gear,"2""","W:4""","G:5""",,,,,Gear Destroyer,Anchor,,No,Yes,"12""",,Peacemaker Kodiak,,,
60,Kodiak,Destroyer Kodiak,19,"SK, FS",9,4,2,2,4,2,Gear,"2""","W:4""","G:5""",,,,,Tank Destroyer,Anchor,,No,Yes,"12""",,,,,
61,Bear,Bear,14,FS,7,3,3,1,3,2,Gear,"2""","W:4""","G:6""",,"I dropped the armour by 0.5. Gave it autopilot to encourage use as an actual artillery gear. Dropped its walker movement to 4, same as grizzly.",,,Artillery,,,Yes,Yes,"12""",,,Yes,1810s,Designed to replace the Mad Dog and Razorback in fire support duties
62,Bear,Mauler Bear,14,FS,7,3,3,1,3,2,Gear,"2""","W:4""","G:6""",,"got autopilot, other bear changes",,,Gear Destroyer,Assault,,Yes,Yes,"12""",,,,,
63,Mad Dog,Mad Dog R,9,"FS, GP",7,3,3,1,3,2,Gear,"2""","W:4""","G:6""",,,,,Gear Destroyer,Trooper,,Yes,Yes,"8""",,,,1914,Cobbled together from mothballed Mad Dogs and legs from Bears to desperately replace losses in the War of the Alliance
64,Den Mother,Den Mother,15,FS (CMD),7,4,2,1,3,2,Gear,"2""","W:4""","G:6""",,,,,Artillery,,,Yes,Yes,"12""",,,,,
65,Lion,Lion,16,SK,7,4,2,1,4,3,Gear,"1.5""","W:5""","G:6""",,,,,Gear Destroyer,Assault,,No,Yes,"12""",,,Yes,,
66,Lion,Lion Lightning,18,SK,7,4,2,1,4,3,Gear,"1.5""","W:5""","G:6""",,,,,Assault,Gear Destroyer,,No,Yes,"12""",,,,,
67,Lion,Lion Initiate,16,SK,7,4,2,1,3,3,Gear,"1.5""","W:5""","G:6""",,,,,Assault,Gear Destroyer,,No,Yes,"12""",,,,,
68,Lion,Strike Lion,16,SK,7,4,2,1,3,3,Gear,"1.5""","W:5""","G:6""",,@make this destroyer and add strike version with IRP?,,,Assault,Tank Destroyer,,No,Yes,"12""",,,,,
69,Scimitar,Scimitar,26,"SK, FS",10,4,2,2,3,2,Strider,"3""","W:5""","G:6""",,,,,Assault,Tank Destroyer,,No,Yes,"12""",,,Yes,,
70,Scimitar,Scimitar Feral,25,"SK, FS",10,4,2,2,3,2,Strider,"3""","W:5""","G:6""",,,,,Assault,,,No,Yes,"12""",,,,,
71,Scimitar,Scimitar Assault,28,"SK, FS",10,4,2,2,3,2,Strider,"3""","W:5""","G:6""",,,,,Assault,Tank Destroyer,,No,Yes,"12""",,,,,
72,Scimitar,Scimitar Lightning,32,"SK, FS",10,4,2,2,3,2,Strider,"3""","W:5""","G:6""",,,,,Anchor,Sniper,,No,Yes,"12""",,,,,
73,Mammoth,Mammoth,26,FS,11,4,2,2,3,1,Strider,"2.5""","W:4""","G:5""",,,,,Anchor,Gear Destroyer,,No,Yes,"12""",,,Yes,,
74,Mammoth,Assault Mammoth,24,FS,11,4,2,2,3,1,Strider,"2.5""","W:4""","G:5""",,,,,Gear Destroyer,Assault,,Yes,Yes,"12""",,,,,
75,Mammoth,Brawler Mammoth,25,FS,11,4,2,2,3,1,Strider,"2.5""","W:4""","G:5""",,,,,Gear Destroyer,Anchor,,Yes,Yes,"12""",,,,,
76,Mammoth,Gunner Mammoth,23,FS,11,4,2,2,3,1,Strider,"2.5""","W:4""","G:5""",,,,"each arm contains a frag cannon and an autocannon, hence both are linked",Infantry Destroyer,Gear Destroyer,,Yes,Yes,"12""",,,,,
77,Mammoth,Command Mammoth,32,FS (CMD),11,4,2,2,3,1,Strider,"2.5""","W:4""","G:5""",,,,i'm confused by the contents and picture on the mammoth custom kit,Gear Destroyer,Assault,,No,Yes,"12""",,,,,
78,Thunderhammer,Thunderhammer,30,FS,11,3,3,2,3,1,Strider,"3""","W:4""",,,,,,Anchor,Artillery,,Yes,Yes,"12""",,,Yes,,
79,Thunderhammer,Thunderhammer Lightning,28,FS,11,3,3,2,3,1,Strider,"3""","W:4""",,,,,,Anchor,Gear Destroyer,,No,Yes,"12""",,,,,
80,Thunderhammer,Thunderhammer Storm,27,FS,11,3,3,2,3,1,Strider,"3""","W:4""",,,,,,Artillery,Anchor,,No,Yes,"12""",,,,,
81,Thunderhammer,Thunderhammer Flak,26,FS,11,3,3,2,3,1,Strider,"3""","W:4""",,,,,,Gear Destroyer,Anchor,,Yes,Yes,"12""",,,,,
82,Thunderhammer,Thunderhammer Support,29,FS,11,3,3,2,3,1,Strider,"3""","W:4""",,,,,,Artillery,Anchor,,No,Yes,"12""",,,,,
83,Klemm,Klemm,15,"GP, FS",9,3,3,2,3,1,Vehicle,"1""","G:6""",,,,,,Artillery,Anchor,,No,Yes,"12""",,,Yes,,
84,Klemm,Bandit Hunter Klemm,14,"GP, FS",9,4,2,2,3,1,Vehicle,"1""","G:6""",,,,,,Gear Destroyer,Anchor,,Yes,Yes,"12""",,,,,
85,Klemm,Tyburr,12,FS,9,3,3,2,3,1,Vehicle,"1""","G:5""",,,,,,Artillery,Tank Destroyer,,Yes,Yes,"12""",,,,,
86,Jaxon,Jaxon,14,FS,8,3,3,2,2,1,Vehicle,"1.5""","G:6""",,,,,,Artillery,Gear Destroyer,,Yes,Yes,"12""",,,,,
87,Stormhammer,Stormhammer,12,FS,8,3,3,2,2,1,Vehicle,"1.5""","G:6""",,,added AS because it's a siege mortar,,,Artillery,,,Yes,Yes,"12""",,,,,
88,Aller,Aller,36,FS,12,3,3,3,3,1,Vehicle,"1.5""","G:4""",,,,,,Anchor,,,No,Yes,"12""",,,Yes,,
89,Aller,Naval Support Aller,42,FS,12,3,3,3,3,1,Vehicle,"1.5""","G:4""",,,@removed field armour in exchange for toughness during HS review,,,Anchor,Tank Destroyer,,No,Yes,"12""",,,,,
90,Aller,Hardy Aller,34,FS,12,4,2,3,3,1,Vehicle,"1.5""","G:4""",,,,,,Anchor,Gear Destroyer,,Yes,Yes,"12""",,,,,
91,Verder,Verder,25,FS,11,3,3,2,3,1,Vehicle,"2""","G:4""",,,,,,,,,No,Yes,"12""",,,,,
92,Dragonfly (North),Dragonfly (North),18,SK,6,3,3,2,3,4,Vehicle,"3""","H:12""",,,,,,Tank Destroyer,Artillery,,No,Yes,"16""",,,,,
93,Scorpion,Scorpion,26,"FS, SK",9,3,3,2,3,3,Vehicle,"4""","H:10""",,,,,,Tank Destroyer,Artillery,,No,Yes,"12""",,,,,
94,Badger,Badger,7,IN,7,3,3,1,2,1,Vehicle,"1""","G:7""",,,I ended up increasing the AR to 7 and the LAC to a MAC to justify the real world monetary cost of a badger,,,Transport,,,Yes,Yes,"12""",,,Yes,,
95,Badger,Cavalry Badger,8,IN,7,3,3,1,2,1,Vehicle,"1""","G:7""",,,"although the rockets don't look that much like MRP, that's canonically what they're supposed to be",,,Gear Destroyer,Transport,,Yes,Yes,"12""",,,,,
96,Badger,Rabid Badger,10,IN,7,3,3,1,2,1,Vehicle,"1""","G:7""",,,pumped this up to a matm because it's a really big model part,,,Transport,Tank Destroyer,,No,Yes,"12""",,,,,
98,Stinger,Stinger,4,FS,4,2,4,1,2,1,Vehicle,"1""","G:7""",,,,,,Artillery,Infantry Destroyer,,Yes,Yes,"12""",,,,,
99,Antelope,Antelope,3,RC,4,3,1,1,2,3,Vehicle,"0.5""","G:9""",,,,,,Recon,Objective Securer,,Yes,Yes,"12""",,,,,
100,Bricklayer,Bricklayer,5,EG,4,3,3,1,2,3,Gear,"1.5""","W:5""","G:6""",,,,,Recovery,,,Yes,Yes,"12""",,,,,
101,Engineering Grizzly,Engineering Grizzly,9,EG,6,3,3,1,2,2,Gear,"2""","W:4""","G:6""",,,,,Assault,Recovery,,Yes,Yes,"12""",,,,,
102,Field Gun (North),Field Gun,5,FS,4,2,2,1,2,1,Infantry,"0.5""","G:2""",,,,,,Artillery,Gear Destroyer,,Yes,Yes,"12""",,,,,
103,Lynx,Lynx,3,"IN, GP",3,3,3,1,2,3,Gear,"1""","W:6""","G:8""",,dropped the AR from 4 to 3 because the pilot literally has no protection. @review cost,,,Objective Securer,Tank Destroyer,,Yes,Yes,"12""",,,Yes,,
104,Wallaby,Wallaby Squad,4,IN,2,2,2,1,2,3,Infantry,"0.5""","G:9""",,,,,"these go on a 40mm round, or 3 hexes",Objective Securer,Infantry Destroyer,,Yes,Yes,"12""",,,,,
105,Northern Infantry,Grenadier Infantry Squad,3,IN,2,2,2,1,3,3,Infantry,"0.5""","W:3""",,,,,,Objective Securer,Infantry Destroyer,,Yes,Yes,"12""",,,,,
106,Northern Infantry,Anti-Tank Infantry Squad,4,IN,2,2,2,1,3,3,Infantry,"0.5""","W:3""",,,,,,Tank Destroyer,,,Yes,Yes,"12""",,,,,
107,Northern Infantry,Mortar Infantry Squad,4,IN,2,2,2,1,3,3,Infantry,"0.5""","W:3""",,,,,,Artillery,Infantry Destroyer,,Yes,Yes,"12""",,,,,
108,Northern Infantry,Sniper Team,3,IN,2,2,0,1,3,3,Infantry,"0.5""","W:3""",,,,,,Tank Destroyer,,,Yes,Yes,"12""",,,,,
109,Northern Infantry,Recon Infantry Squad,4,IN,2,2,2,1,3,3,Infantry,"0.5""","W:3""",,,,,,TD Recon,Objective Securer,,Yes,Yes,"12""",,,,,
110,Jager,Jager,6,"GP, SK, FS",6,4,2,1,3,3,Gear,"1.5""","W:5""","G:6""",,,,,Trooper,,,Yes,Yes,"12""",,,Yes,,
111,Jager,Striking Jager,7,"GP, SK, FS",6,4,2,1,3,3,Gear,"1.5""","W:5""","G:6""",,,,,Tank Destroyer,Trooper,,Yes,Yes,"12""",,,,,
112,Jager,Jager Gunner,7,"GP, SK, FS",6,4,2,1,3,3,Gear,"1.5""","W:5""","G:6""",,,,,Trooper,,,Yes,Yes,"12""",,,,,
113,Jager,Brawler Jager,7,"GP, SK",6,4,2,1,3,3,Gear,"1.5""","W:5""","G:6""",,,,,Trooper,,,Yes,Yes,"12""",,,,,
114,Jager,Blitz Jager,9,SK,6,4,2,1,3,3,Gear,"1.5""","W:5""","G:6""",,,,,Trooper,Tank Destroyer,,Yes,Yes,"12""",,,,,
115,Jager,Flamm Jager,6,"GP, SK",6,4,2,1,3,3,Gear,"1.5""","W:5""","G:6""",,,,,Infantry Destroyer,Assault,,Yes,Yes,"12""",,,,1916,Introduced to mop up holdout GREL forces as the War of the Alliance wound down
116,Para Jager,Para Jager,7,SK,6,4,2,1,3,3,Gear,"1.5""","W:5""","G:6""",,,,,Airdrop Trooper,,,No,Yes,"12""",,,Yes,,
117,Para Jager,Para Striking Jager,7,SK,6,4,2,1,3,3,Gear,"1.5""","W:5""","G:6""",,,,,Tank Destroyer,,,No,Yes,"12""",,,,,
118,Asp,Asp,3,"GP, IN",6,3,3,1,2,2,Gear,"1.5""","W:4""","G:5""",,,,,Infantry Destroyer,Objective Securer,,Yes,Yes,"8""",,,Yes,1918,
119,Asp,Gunner Asp,4,"GP, IN",6,3,3,1,2,2,Gear,"1.5""","W:4""","G:5""",,,,,Objective Securer,,,Yes,Yes,"8""",,,,1918,
120,Asp,Brawler Asp,4,"GP, IN",6,2,4,1,2,2,Gear,"1.5""","W:4""","G:5""",,,,,Infantry Destroyer,Tank Destroyer,,Yes,Yes,"8""",,,,1918,
121,Salamander,Salamander,5,GP,5,3,3,1,2,3,Gear,"1.5""","W:5""","G:7""",,,,,Interceptor,,,Yes,Yes,"12""",,,Yes,1932,Refitted for military usage from civilian kit
122,Salamander,Salamander Riotmaster,5,GP,5,3,3,1,2,3,Gear,"1.5""","W:5""","G:7""",,,,,Interceptor,Infantry Destroyer,,Yes,Yes,"12""",,,,,
123,Salamander,Salamander Brawler,6,GP,5,3,3,1,2,3,Gear,"1.5""","W:5""","G:7""",,,,,Interceptor,Trooper,,Yes,Yes,"12""",,,,,
124,Salamander,Salamander Hunter,7,GP,5,3,3,1,2,3,Gear,"1.5""","W:5""","G:7""",,,,,Interceptor,,,Yes,Yes,"12""",,,,,
125,Street Viper,Street Viper,6,GP,5,3,3,1,2,4,Gear,"1.5""","W:5""","G:8""",,,,,Interceptor,Tank Destroyer,,Yes,Yes,"12""",,,Yes,,
126,Street Viper,Anti-Air Street Viper,6,GP,5,3,3,1,2,4,Gear,"1.5""","W:5""","G:8""",,,,,Interceptor,,,Yes,Yes,"12""",,,,,
127,Street Viper,Riotmaster Street Viper,7,GP,5,3,3,1,2,4,Gear,"1.5""","W:5""","G:8""",,,,,Infantry Destroyer,Tank Destroyer,,Yes,Yes,"12""",,,,,
128,Badlands Python,Badlands Python,12,GP,8,3,3,1,3,2,Gear,"2""","W:4""","G:5""",,Defective sensors,,,Artillery,Gear Destroyer,,Already Is,Yes,"8""",,,,1890s,Created from misappropriated Python stock being phased out in favour of Spitting Cobras
129,Black Mamba,Black Mamba,12,"SK, FS, RC (CMD)",7,3,3,1,4,4,Gear,"1.5""","W:6""","G:7""",,,,,Strike,,,No,Yes,"12""",,,Yes,,
130,Black Mamba,Strike Black Mamba,12,"SK, FS",7,3,3,1,4,4,Gear,"1.5""","W:6""","G:7""",,,,,Strike,Tank Destroyer,,No,Yes,"12""",,,,,
131,Black Mamba,Brawler Black Mamba,12,SK,7,3,3,1,4,4,Gear,"1.5""","W:6""","G:7""",,,,,Strike,Infantry Destroyer,,No,Yes,"12""",,,,,final years of the war of the alliance
132,Black Mamba,Long Fang Black Mamba,14,SK,7,3,3,1,4,4,Gear,"1.5""","W:6""","G:7""",,,,,Strike,Gear Destroyer,,No,Yes,"12""",,,,,
133,Black Mamba,Blazing Black Mamba,14,SK,7,3,3,1,4,4,Gear,"1.5""","W:6""","G:7""",,"in the vehicle compendium this has no LRP, which is interesting, but would invalidate many builds, so better to keep it",,,Strike,Gear Destroyer,,No,Yes,"12""",,,,,after the snakeye
134,Black Mamba,Blitz Black Mamba,14,"SK, FS",7,3,3,1,4,4,Gear,"1.5""","W:6""","G:7""",,,,,Strike,,,No,Yes,"12""",,,,,
135,Snakeye Black Mamba,Snakeye Mamba,16,SF,7,3,3,1,4,4,Gear,"1.5""","W:6""","G:7""",,,,,Sniper,Gear Destroyer,,No,Yes,"12""",,,Yes,1929,
136,Snakeye Black Mamba,Snakeye Mamba Firestorm,16,SF,7,3,3,1,4,4,Gear,"1.5""","W:6""","G:7""",,,,,Gear Destroyer,,,No,Yes,"12""",,,,,
137,Green Mamba,Green Mamba,14,SF,7,3,3,1,4,4,Gear,"1.5""","W:6""","G:7""",,,,,Strike,,,No,Yes,"12""",,,Yes,1931,Requested by Legion Noire
138,Green Mamba,Green Mamba Gunner,15,SF,7,3,3,1,4,4,Gear,"1.5""","W:6""","G:7""",,,,,Strike,Gear Destroyer,,No,Yes,"12""",,,,1931,
139,Green Mamba,Green Mamba Strike,14,SF,7,3,3,1,4,4,Gear,"1.5""","W:6""","G:7""",,,,,Strike,Tank Destroyer,,No,Yes,"12""",,,,1931,
140,Chameleon,Chameleon,13,SF,5,3,3,1,4,4,Gear,"1.5""","W:6""","G:8""",,,,,TD Recon,EWAR,,No,Yes,"16""",,,Yes,1920s,
141,Chameleon,Gunner Chameleon,14,SF,5,3,3,1,4,4,Gear,"1.5""","W:6""","G:8""",,,,,TD Recon,EWAR,,No,Yes,"16""",,,,,
142,Diamondback,Diamondback,11,SK,7,4,2,1,3,3,Gear,"1.5""","W:5""","G:7""",,,,,Airdrop Trooper,Assault,,Yes,Yes,"12""",,,Yes,1938,Marketed as a rival to the Black Mamba
143,Diamondback,Strike Diamondback,11,SK,7,4,2,1,3,3,Gear,"1.5""","W:5""","G:7""",,,,,Tank Destroyer,Airdrop Trooper,,Yes,Yes,"12""",,,,,
144,Diamondback,Gunner Diamondback,12,SK,7,4,2,1,3,3,Gear,"1.5""","W:5""","G:7""",,,,,Airdrop Trooper,Gear Destroyer,,Yes,Yes,"12""",,,,,
145,Sidewinder,Sidewinder,11,"GP, SK",7,4,2,1,4,3,Gear,"1.5""","W:5""","G:6""",,@I want to change this to be AR6 with field armour (so AR 6.5) because it seems it was historically lighter armoured than other stuff at 7 and to differentiate it from the tiger. The 4/2 is fine because it has extra pilot safety measures,,,Trooper,,,Yes,Yes,"12""",,,Yes,1887,VModProg design clearly intended to rival the Northern Tiger
146,Sidewinder,Sidewinder Sniper,12,"GP, SK",7,4,2,1,4,3,Gear,"1.5""","W:5""","G:6""",,,,,Trooper,,,Yes,Yes,"12""",,,,,
